Not using distributed mode
git:
  sha: 85b8696e6a0ce62526bd5f21358c671dcf69dc24, status: has uncommited changes, branch: main

Namespace(aux_loss=True, backbone='resnet101', batch_size=16, bbox_loss_coef=5, clip_max_norm=0.1, coco_panoptic_path=None, coco_path='/data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p', cons_loss=False, cons_loss_coef=10, data_augment=True, dataset_file='rsna', dec_layers=6, device='cuda', dice_loss_coef=1, dilation=False, dim_feedforward=2048, dist_url='env://', distributed=False, dropout=0.1, enc_layers=6, eos_coef=0.1, epochs=111, eval=False, frozen_weights=None, generate_pseudo_bbox=False, giou_loss_coef=2, hidden_dim=256, load_from='', lr=0.0001, lr_backbone=1e-05, lr_drop=[72, 96], mask_loss_coef=1, masks=False, nheads=8, num_queries=100, num_workers=16, output_dir='/data/sundeep/Point-Beyond-Class/Output/outfiles/models/RSNA/exp4_stage1_data50p_1pts_Erase20_jit005_unlabelLossL2Loss50_Load2ptsconsPth_resnet101', partial=50, position_embedding='v4', pre_norm=True, remove_difficult=False, resume='', sample_points_num=1, save_csv=None, save_evaltxt_forDraw=False, seed=42, set_cost_bbox=5, set_cost_class=1, set_cost_giou=2, start_epoch=0, start_sample_UnSupImg=80, train_with_unlabel_imgs=True, unlabel_cons_loss_coef=50.0, val_data='val', weight_decay=0.0001, world_size=1)
weight dict ..  {'loss_ce': 1, 'loss_bbox': 5, 'loss_giou': 2, 'loss_unlabelcons': 50.0, 'loss_ce_0': 1, 'loss_bbox_0': 5, 'loss_giou_0': 2, 'loss_unlabelcons_0': 50.0, 'loss_ce_1': 1, 'loss_bbox_1': 5, 'loss_giou_1': 2, 'loss_unlabelcons_1': 50.0, 'loss_ce_2': 1, 'loss_bbox_2': 5, 'loss_giou_2': 2, 'loss_unlabelcons_2': 50.0, 'loss_ce_3': 1, 'loss_bbox_3': 5, 'loss_giou_3': 2, 'loss_unlabelcons_3': 50.0, 'loss_ce_4': 1, 'loss_bbox_4': 5, 'loss_giou_4': 2, 'loss_unlabelcons_4': 50.0}
number of params: 60233992
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/instances_trainBox.json
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
=====> training with unlabeled imgs (point annotation)
loading annotations into memory...
Done (t=0.07s)
creating index...
index created!
=====> /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/100p/instances_trainBox.json
sample points num ..  1
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/../instances_val.json
loading annotations into memory...
Done (t=0.01s)
creating index...
index created!
sample points num ..  1
training data:
num:  4809
sample:  5 (tensor([[[-1.9809, -1.9809, -1.9809,  ..., -2.0494, -2.0665, -2.1008],
         [-1.9638, -1.9638, -1.9638,  ..., -2.0323, -2.0665, -2.1008],
         [-1.9809, -1.9809, -1.9809,  ..., -2.0323, -2.0494, -2.0837],
         ...,
         [ 0.6563,  0.7248,  0.7077,  ..., -1.9467, -1.9295, -2.0494],
         [ 0.6049,  0.6734,  0.6563,  ..., -1.9295, -1.9467, -2.0494],
         [-0.7650, -0.7650, -0.7650,  ..., -2.0152, -2.0323, -2.0837]],

        [[-1.8957, -1.8957, -1.8957,  ..., -1.9657, -1.9832, -2.0182],
         [-1.8782, -1.8782, -1.8782,  ..., -1.9482, -1.9832, -2.0182],
         [-1.8957, -1.8957, -1.8957,  ..., -1.9482, -1.9657, -2.0007],
         ...,
         [ 0.8004,  0.8704,  0.8529,  ..., -1.8606, -1.8431, -1.9657],
         [ 0.7479,  0.8179,  0.8004,  ..., -1.8431, -1.8606, -1.9657],
         [-0.6527, -0.6527, -0.6527,  ..., -1.9307, -1.9482, -2.0007]],

        [[-1.6650, -1.6650, -1.6650,  ..., -1.7347, -1.7522, -1.7870],
         [-1.6476, -1.6476, -1.6476,  ..., -1.7173, -1.7522, -1.7870],
         [-1.6650, -1.6650, -1.6650,  ..., -1.7173, -1.7347, -1.7696],
         ...,
         [ 1.0191,  1.0888,  1.0714,  ..., -1.6302, -1.6127, -1.7347],
         [ 0.9668,  1.0365,  1.0191,  ..., -1.6127, -1.6302, -1.7347],
         [-0.4275, -0.4275, -0.4275,  ..., -1.6999, -1.7173, -1.7696]]]), {'labels': tensor([1, 1]), 'object_ids': tensor([0, 1]), 'points': tensor([[0.3183, 0.2749],
        [0.5916, 0.6803]])}, {'boxes': tensor([[0.2310, 0.5317, 0.3096, 0.5264],
        [0.6040, 0.5762, 0.2510, 0.4512]])}, '000000.jpg', False)
====================================================================================================
using MyBalancedSampler and  50\% data.
====================================================================================================
Start training (Hypothesis 1: ResNet101 backbone)
epoch imgs: 4800
Epoch: [0]  [  0/300]  eta: 0:12:41  lr: 0.000100  loss: 5.1256 (5.1256)  loss_bbox: 3.1487 (3.1487)  loss_giou: 1.6522 (1.6522)  loss_unlabelcons: 0.3247 (0.3247)  time: 2.5372  data: 1.4830  max mem: 7856
Epoch: [0]  [ 10/300]  eta: 0:05:44  lr: 0.000100  loss: 3.6951 (3.8108)  loss_bbox: 2.1039 (2.1968)  loss_giou: 1.4706 (1.4642)  loss_unlabelcons: 0.1338 (0.1498)  time: 1.1888  data: 0.1522  max mem: 9197
Epoch: [0]  [ 20/300]  eta: 0:05:07  lr: 0.000100  loss: 3.4372 (3.5888)  loss_bbox: 1.8221 (1.9721)  loss_giou: 1.4546 (1.4692)  loss_unlabelcons: 0.1360 (0.1475)  time: 1.0268  data: 0.0274  max mem: 9824
Epoch: [0]  [ 30/300]  eta: 0:04:45  lr: 0.000100  loss: 3.3588 (3.5367)  loss_bbox: 1.7324 (1.9133)  loss_giou: 1.4919 (1.4810)  loss_unlabelcons: 0.1322 (0.1423)  time: 0.9867  data: 0.0229  max mem: 9824
Epoch: [0]  [ 40/300]  eta: 0:04:31  lr: 0.000100  loss: 3.3523 (3.5070)  loss_bbox: 1.7324 (1.8921)  loss_giou: 1.4608 (1.4749)  loss_unlabelcons: 0.1308 (0.1401)  time: 0.9901  data: 0.0224  max mem: 9824
Epoch: [0]  [ 50/300]  eta: 0:04:20  lr: 0.000100  loss: 3.3345 (3.4822)  loss_bbox: 1.7263 (1.8727)  loss_giou: 1.4512 (1.4706)  loss_unlabelcons: 0.1338 (0.1389)  time: 1.0167  data: 0.0339  max mem: 9824
Epoch: [0]  [ 60/300]  eta: 0:04:03  lr: 0.000100  loss: 3.4282 (3.4784)  loss_bbox: 1.7758 (1.8664)  loss_giou: 1.4447 (1.4726)  loss_unlabelcons: 0.1380 (0.1394)  time: 0.9466  data: 0.0224  max mem: 9824
Epoch: [0]  [ 70/300]  eta: 0:03:54  lr: 0.000100  loss: 3.4607 (3.4910)  loss_bbox: 1.8548 (1.8794)  loss_giou: 1.4625 (1.4739)  loss_unlabelcons: 0.1311 (0.1377)  time: 0.9553  data: 0.0240  max mem: 9824
Epoch: [0]  [ 80/300]  eta: 0:03:41  lr: 0.000100  loss: 3.3432 (3.4426)  loss_bbox: 1.7210 (1.8361)  loss_giou: 1.4102 (1.4658)  loss_unlabelcons: 0.1313 (0.1407)  time: 0.9810  data: 0.0243  max mem: 9824
Epoch: [0]  [ 90/300]  eta: 0:03:28  lr: 0.000100  loss: 2.9177 (3.4000)  loss_bbox: 1.4340 (1.8006)  loss_giou: 1.3622 (1.4597)  loss_unlabelcons: 0.1386 (0.1397)  time: 0.9063  data: 0.0229  max mem: 9824
Epoch: [0]  [100/300]  eta: 0:03:17  lr: 0.000100  loss: 3.1281 (3.3968)  loss_bbox: 1.5514 (1.7985)  loss_giou: 1.4381 (1.4592)  loss_unlabelcons: 0.1318 (0.1391)  time: 0.9089  data: 0.0350  max mem: 9824
Epoch: [0]  [110/300]  eta: 0:03:05  lr: 0.000100  loss: 3.2320 (3.3795)  loss_bbox: 1.6034 (1.7826)  loss_giou: 1.4312 (1.4575)  loss_unlabelcons: 0.1381 (0.1394)  time: 0.9067  data: 0.0236  max mem: 9824
Epoch: [0]  [120/300]  eta: 0:02:54  lr: 0.000100  loss: 3.2127 (3.3713)  loss_bbox: 1.5950 (1.7732)  loss_giou: 1.4222 (1.4590)  loss_unlabelcons: 0.1406 (0.1391)  time: 0.8998  data: 0.0228  max mem: 9824
Epoch: [0]  [130/300]  eta: 0:02:45  lr: 0.000100  loss: 3.2971 (3.3743)  loss_bbox: 1.6239 (1.7722)  loss_giou: 1.4831 (1.4637)  loss_unlabelcons: 0.1322 (0.1385)  time: 0.9678  data: 0.0345  max mem: 9824
Epoch: [0]  [140/300]  eta: 0:02:35  lr: 0.000100  loss: 3.1304 (3.3585)  loss_bbox: 1.5367 (1.7594)  loss_giou: 1.4406 (1.4612)  loss_unlabelcons: 0.1302 (0.1379)  time: 0.9913  data: 0.0232  max mem: 9824
Epoch: [0]  [150/300]  eta: 0:02:26  lr: 0.000100  loss: 3.1787 (3.3592)  loss_bbox: 1.6297 (1.7604)  loss_giou: 1.4406 (1.4613)  loss_unlabelcons: 0.1304 (0.1375)  time: 0.9875  data: 0.0265  max mem: 9824
Epoch: [0]  [160/300]  eta: 0:02:16  lr: 0.000100  loss: 3.2219 (3.3490)  loss_bbox: 1.6452 (1.7525)  loss_giou: 1.4639 (1.4582)  loss_unlabelcons: 0.1407 (0.1384)  time: 0.9837  data: 0.0268  max mem: 9824
Epoch: [0]  [170/300]  eta: 0:02:07  lr: 0.000100  loss: 3.1442 (3.3410)  loss_bbox: 1.6324 (1.7451)  loss_giou: 1.4639 (1.4579)  loss_unlabelcons: 0.1352 (0.1380)  time: 0.9849  data: 0.0235  max mem: 9824
Epoch: [0]  [180/300]  eta: 0:01:57  lr: 0.000100  loss: 3.1787 (3.3418)  loss_bbox: 1.6324 (1.7445)  loss_giou: 1.4893 (1.4599)  loss_unlabelcons: 0.1294 (0.1374)  time: 1.0327  data: 0.0351  max mem: 9834
Epoch: [0]  [190/300]  eta: 0:01:47  lr: 0.000100  loss: 3.1787 (3.3334)  loss_bbox: 1.5960 (1.7383)  loss_giou: 1.4662 (1.4577)  loss_unlabelcons: 0.1334 (0.1374)  time: 0.9687  data: 0.0236  max mem: 9834
Epoch: [0]  [200/300]  eta: 0:01:37  lr: 0.000100  loss: 3.1346 (3.3271)  loss_bbox: 1.5275 (1.7325)  loss_giou: 1.4640 (1.4576)  loss_unlabelcons: 0.1339 (0.1370)  time: 0.9113  data: 0.0239  max mem: 9834
